,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,Genuine,ID
0,-4,-18.44,96.06,243.2,2.082,0.133,1,1
1,-4,-17.77,101,259.8,2.516,0.1068,1,1
2,-4,-12.27,107.7,284.2,2.523,0.0977,1,1
3,4,-17.88,86.4,261,2.527,0.0944,1,1
4,2,-21.72,93.3,265.2,2.498,0.1201,1,1
5,-3,-20.81,91.25,263.2,2.523,0.125,1,1
6,-4,-19.12,97.94,256.8,2.543,0.075,1,1
7,3,-30.98,92.7,257.2,1.528,0.1115,1,1
8,5,-11.16,115.1,249.2,2.51,0.1054,1,1
9,4,-18.58,97.9,239.5,2.432,0.097,1,1
10,2,-18.33,94.75,277.5,2.4,0.0665,1,1
11,5,-16.7,97.1,250.2,2.465,0.146,1,1
12,4,-18.92,87.44,251.4,2.514,0.12476,1,1
13,2,-19.2,86.4,251.8,2.465,0.1444,1,1
14,-3,-20.05,85.5,237.9,2.025,0.1093,1,1
15,3,-19.12,89.5,253.4,2.502,0.0967,1,1
16,-5,-19.36,94.5,257.8,2.418,0.1221,1,1
17,0,-15.41,100.7,244.6,2.217,0.1465,1,1
18,4,-27.66,96.94,261.8,1.475,0.1405,1,1
19,-3,-13.195,99.06,255.2,1.465,0.1465,1,1
20,2,-11.87,101.94,249.1,2.463,0.1221,1,1
21,3,-26.56,100.7,251.4,1.579,0.11273,1,1
22,-1,-14.2,103.8,266.2,2.414,0.1609,1,1
23,5,-34.78,101.6,261,1.216,0.09174,1,1
195,-5,-12.49,99.5,262.8,2.549,0.1087,0,1
196,-2,-11.58,92.94,214.8,2.568,0.129,0,1
197,-2,-9.01,97.75,231.1,2.426,0.1555,0,1
198,-5,-40.16,119.94,220.1,0.1641,0.1869,0,1
314,-5,-10.23,126.25,228.2,1.934,0.1704,0,1
315,-2,-4.97,113.7,228.2,1.51,0.1627,0,1
316,-5,29.75,129.8,225.4,-0.2856,0.2023,0,1
317,-5,-85.4,124.56,230,0.01538,0.1787,0,1
24,-2,-2.012,84.5,248.5,2.19,0.29,1,2
25,-2,-23.86,82.6,250.2,0.808,0.312,1,2
26,-3,-22.2,81.56,251.4,0.7656,0.3147,1,2
27,-4,-32.25,79.06,241.9,0.768,0.3018,1,2
28,-5,-22.16,95.5,254.5,0.7256,0.311,1,2
29,-5,-25.67,82.2,258,0.665,0.3726,1,2
30,4,0.651,88,241.1,1.814,0.3215,1,2
31,2,-22.7,80.6,262,0.7886,0.2996,1,2
32,-3,-37.88,74.25,252.2,0.886,0.3005,1,2
33,-1,-20.33,81.44,245.2,0.8765,0.2976,1,2
34,4,-31.94,77.9,251.1,0.8394,0.3352,1,2
35,0,-20.6,83.44,254,0.8506,0.353,1,2
36,0,-18.89,94.75,251.2,0.7876,0.356,1,2
37,-3,-19.02,86.1,245.8,0.9077,0.3376,1,2
38,0,-1.298,83.9,253.6,1.811,0.335,1,2
39,-5,-8.19,87.1,242.9,2.15,0.3718,1,2
40,-1,-3.164,84.4,247.5,2.145,0.3188,1,2
41,-2,-28.44,85.3,260.5,0.7383,0.3472,1,2
42,-3,-25.28,80.8,262.8,0.7383,0.3118,1,2
43,0,-27.78,82.3,265.2,0.7734,0.3384,1,2
44,-3,-0.397,83.3,253.6,2.22,0.3455,1,2
45,-2,-23.67,88.5,252.8,0.7563,0.3684,1,2
46,0,-4.883,85.75,241.6,2.062,0.3855,1,2
47,0,-1.486,84.25,242.5,2.186,0.3958,1,2
167,0,-0.533,108.4,250.5,2.205,0.2542,0,2
168,1,-17.62,96.5,239.2,0.6685,0.2751,0,2
169,-2,-4.82,105.2,243.8,2.213,0.2734,0,2
170,2,-26.23,105.75,249.1,0.728,0.2695,0,2
171,1,-2.543,105,253.4,2.438,0.1927,0,2
172,-2,0.273,100.6,252.8,2.154,0.1847,0,2
173,-3,-3.432,96.8,237.8,2.195,0.2352,0,2
174,-2,90,93.06,239.4,0,0.2133,0,2
191,-5,-25.42,101,263.2,0.723,0.1715,0,2
192,-3,-1.909,114,237.6,1.846,0.1475,0,2
193,3,-35.94,92.25,272.8,0.559,0.169,0,2
194,2,-1.417,98.25,262.5,2.475,0.2233,0,2
48,-1,10.016,94.6,245.9,2.236,0.6978,1,3
49,-5,-23.3,96.56,247.9,0.7866,0.6104,1,3
50,-3,1.479,108.6,251.8,-0.799,0.813,1,3
51,-3,1.569,112.25,241.9,-0.7603,0.7856,1,3
52,-5,10.42,98.6,264,1.8125,0.6587,1,3
53,-3,1.694,103.1,252.9,-0.8804,0.714,1,3
54,-3,-17.81,103.56,284.2,1.8955,0.6953,1,3
55,2,10.79,87.1,256.2,2.104,0.641,1,3
56,4,2.387,112.06,247.4,-0.5,0.7827,1,3
57,-5,3.945,101.6,236.6,-0.302,0.765,1,3
58,5,1.273,98.3,255.6,-0.9277,0.6714,1,3
59,5,-2.361,102.94,258,2.475,0.7803,1,3
60,-2,2.203,101.4,231.4,-0.817,0.824,1,3
61,5,0.8906,80.75,263.2,-0.9946,0.7173,1,3
62,-5,1.226,113.1,257,-0.9688,0.6978,1,3
63,-5,3.104,109.4,239.6,2.566,0.7275,1,3
64,-2,5.363,94.2,253.4,2.373,0.7524,1,3
65,4,1.302,107.3,249.2,-0.907,0.7026,1,3
66,3,3.137,105.1,237.4,-0.3762,0.711,1,3
67,-3,17.7,111.2,257.8,1.575,0.7007,1,3
68,3,0.8125,101.44,224.5,-1.453,0.744,1,3
69,3,1.488,103.5,228.8,-0.798,0.708,1,3
70,-3,10.38,101.8,251.4,2.393,0.75,1,3
71,-3,-2.906,117.6,238,1.319,0.7515,1,3
199,-5,1.31,80.8,232.1,-0.902,0.658,0,3
200,-5,11.695,89.4,233.9,1.176,0.573,0,3
201,-5,0.705,71.25,250.8,-1.675,0.549,0,3
202,-3,1.193,88.94,214.9,-0.742,0.701,0,3
211,-5,-11.734,89.75,253.2,2.518,0.4573,0,3
212,-3,-13.98,104.25,252.4,2.44,0.3945,0,3
213,-5,-12.94,91.4,262.8,2.145,0.4548,0,3
214,0,-0.8994,104.06,230.4,2.31,0.5376,0,3
334,-3,1.238,87.4,263.5,-0.9585,0.5522,0,3
335,2,-10.55,85.56,237.2,2.217,0.6377,0,3
