,Skew Angle,Slope Angle,Center of Mass x,Center of Mass y,Aspect Ratio,Entropy,ForgerID,OriginalID,Genuine
0,2,-2.318,121.1,257.8,2.164,0.2356,102,1,0
1,0,-1.805,133,252.1,2.453,0.2146,102,2,0
2,1,-3.688,118,250.6,2.332,0.265,102,3,0
3,-3,-2.54,134.6,235.1,2.336,0.2646,102,4,0
4,-1,-2.322,89.06,237,2.527,0.4473,103,2,0
5,4,-6.996,90.8,206,2.508,0.4978,103,3,0
6,-3,-4.46,80.3,215.8,2.498,0.4492,103,4,0
7,0,-4.39,102.3,239.4,2.32,0.2001,104,1,0
8,-3,-6.81,118.6,235.6,2.29,0.241,104,2,0
9,-2,-10.33,110.25,240.9,1.178,0.2585,104,3,0
10,0,-8.08,121.6,252.9,2.582,0.2366,104,4,0
11,-2,-14.63,77.9,217.4,2.416,0.4172,105,1,0
12,-2,-4.13,91.56,217.5,1.421,0.4065,105,2,0
13,0,-11.24,82.06,201.5,0.8,0.3762,105,3,0
14,-1,-4.203,82.6,200,2.525,0.375,105,4,0
15,-1,-14.87,117.4,186,2.057,0.194,106,1,0
16,-4,-16.77,118.2,195.6,1.82,0.215,106,2,0
17,5,-20.64,111.75,213.9,2.006,0.3083,106,3,0
18,1,-19.4,112.94,198.2,1.805,0.2231,106,4,0
19,-1,-9.97,134.1,203.4,2.451,0.282,107,1,0
20,-5,-25.95,123.06,232.9,0.974,0.2218,107,2,0
21,-2,-38.66,126.6,219,0.2073,0.2605,107,3,0
22,-2,-13.8,130.6,221.4,1.733,0.204,107,4,0
23,0,-0.533,108.4,250.5,2.205,0.2542,108,1,0
24,1,-17.62,96.5,239.2,0.6685,0.2751,108,2,0
25,-2,-4.82,105.2,243.8,2.213,0.2734,108,3,0
26,2,-26.23,105.75,249.1,0.728,0.2695,108,4,0
27,1,-2.543,105,253.4,2.438,0.1927,110,1,0
28,-2,0.273,100.6,252.8,2.154,0.1847,110,2,0
29,-3,-3.432,96.8,237.8,2.195,0.2352,110,3,0
30,-2,90,93.06,239.4,0,0.2133,110,4,0
31,-5,-12.836,130.5,206.4,0.405,0.2778,110,1,0
32,1,-28.66,112.56,235.5,1.273,0.226,110,2,0
33,-2,-33.06,128.9,201.9,0.4255,0.341,110,3,0
34,-1,-17.05,115.06,226.6,2.025,0.2247,110,4,0
35,-5,-12.01,109.25,210.2,2.17,0.2449,111,1,0
36,-5,-6.9,109.56,222.9,2.246,0.2983,111,2,0
37,-2,-9.984,105.56,218,2.533,0.298,111,3,0
38,-5,-3.264,104.9,198.4,2.338,0.2727,111,4,0
39,-5,-18.72,127.44,230.4,1.574,0.2773,113,1,0
40,-5,-17.92,132.9,230.4,2.268,0.1431,113,2,0
41,-3,-15.33,132.5,219.5,2.281,0.1888,113,3,0
42,-4,-34.47,128.5,241.2,0.8667,0.294,113,4,0
43,-5,-22.23,106.2,195.8,0.7026,0.3354,117,1,0
44,-3,79.4,110.1,233.5,0.0974,0.454,117,2,0
45,-4,-23.2,122.06,203.4,1.768,0.4658,117,3,0
46,-5,-13.75,97.75,155.4,2.2,0.3267,117,4,0
47,-5,-25.42,101,263.2,0.723,0.1715,118,1,0
48,-3,-1.909,114,237.6,1.846,0.1475,118,2,0
49,3,-35.94,92.25,272.8,0.559,0.169,118,3,0
50,2,-1.417,98.25,262.5,2.475,0.2233,118,4,0
51,-5,-12.49,99.5,262.8,2.549,0.1087,119,1,0
52,-2,-11.58,92.94,214.8,2.568,0.129,119,2,0
53,-2,-9.01,97.75,231.1,2.426,0.1555,119,3,0
54,-5,-40.16,119.94,220.1,0.1641,0.1869,119,4,0
55,-5,1.31,80.8,232.1,-0.902,0.658,121,1,0
56,-5,11.695,89.4,233.9,1.176,0.573,121,2,0
57,-5,0.705,71.25,250.8,-1.675,0.549,121,3,0
58,-3,1.193,88.94,214.9,-0.742,0.701,121,4,0
59,-5,-17.94,91.4,223.5,1.242,0.459,123,1,0
60,-2,5.38,97.25,233.1,1.138,0.3682,123,2,0
61,-4,5.477,90.2,216.1,2.246,0.3953,123,3,0
62,-1,9.086,100.7,213,1.5,0.31,123,4,0
63,-4,0.8794,90.94,204.2,2.338,0.3313,124,1,0
64,3,-22.38,80.6,224.1,-0.3486,0.3115,124,2,0
65,3,5.36,86.94,218.2,2.252,0.331,124,3,0
66,0,-6.664,87.6,215.2,1.896,0.3745,124,4,0
67,-5,-11.734,89.75,253.2,2.518,0.4573,126,1,0
68,-3,-13.98,104.25,252.4,2.44,0.3945,126,2,0
69,-5,-12.94,91.4,262.8,2.145,0.4548,126,3,0
70,0,-0.8994,104.06,230.4,2.31,0.5376,126,4,0
71,-1,-38.66,134.2,210.1,0.1042,0.2164,127,1,0
72,0,-84.8,114.2,237,0.005318,0.1377,127,2,0
73,-5,-3.77,130.1,210.1,1.817,0.12384,127,3,0
74,1,-68.75,109.4,244.4,0.03806,0.1271,127,4,0
75,-5,-10.23,126.25,228.2,1.934,0.1704,201,1,0
76,-2,-4.97,113.7,228.2,1.51,0.1627,201,2,0
77,-5,29.75,129.8,225.4,-0.2856,0.2023,201,3,0
78,-5,-85.4,124.56,230,0.01538,0.1787,201,4,0
79,-1,0,115,252,-2.07,0.481,201,1,0
80,-2,-10.18,98.4,267.2,1.237,0.364,201,2,0
81,-1,3.18,111.06,251.1,-0.2769,0.4712,201,3,0
82,-5,-81.75,109.06,239.6,-0.05127,0.5127,201,4,0
83,-3,-1.567,94.2,234.8,1.6875,0.345,202,1,0
84,1,-8.79,99.06,241,2.486,0.4094,202,2,0
85,-3,-12.87,85.56,235.6,2.133,0.4204,202,3,0
86,-1,-11.37,91.9,227.6,1.887,0.453,202,4,0
87,2,-7.125,128.2,215.6,0.04102,0.3499,202,1,0
88,-3,63.44,121.3,220.6,-0.005127,0.4575,202,2,0
89,0,12.766,100.06,214.4,1.811,0.322,202,3,0
90,-5,-25.7,84.7,230.4,0.2769,0.351,202,4,0
91,-1,-6.598,131.9,207.1,2.129,0.2128,205,1,0
92,-5,-5.7,118.25,220.4,2.21,0.2898,205,2,0
93,-4,-10.9,120.8,197.9,2.318,0.2275,205,3,0
94,-4,-9.95,120.25,196.8,2.188,0.2145,205,4,0
95,-3,1.238,87.4,263.5,-0.9585,0.5522,206,1,0
96,2,-10.55,85.56,237.2,2.217,0.6377,206,2,0
97,-2,-15.15,87,236.6,2.605,0.678,206,3,0
98,3,1.097,86.5,267.5,-1.089,0.64,206,4,0
99,-4,-18.73,101.5,181.5,1.754,0.2045,206,1,0
100,-4,-13.84,117,208.8,1.4795,0.2382,206,2,0
101,-5,-20.17,106.4,194,1.523,0.2568,206,3,0
102,-4,-7.066,128.6,194,1.82,0.228,206,4,0
103,-2,-11.1,135.6,265.5,1.373,0.1772,208,1,0
104,-3,-4.508,126.06,242.6,2.3,0.239,208,2,0
105,2,-9.1,120.25,238.6,2.541,0.2737,208,3,0
106,1,-1.918,135.6,229.9,2.19,0.2296,208,4,0
107,-5,-11.64,131.1,239.2,2.54,0.1344,210,1,0
108,-5,-14.375,126.75,196.5,2.062,0.1459,210,2,0
109,4,-8.25,147,182.9,2.016,0.1567,210,3,0
110,-5,-16.88,118.8,232.4,1.777,0.1805,210,4,0
111,-1,-19.08,103.5,230.6,1.908,0.1903,210,1,0
112,-5,-18.5,89.44,207.4,1.533,0.2063,210,2,0
113,4,-25.9,89.75,215.9,1.995,0.1617,210,3,0
114,4,-26.31,91.44,208.6,1.948,0.1335,210,4,0
115,-2,-9.19,99.8,243.8,1.713,0.2537,213,1,0
116,-1,-11.9,104.25,215.2,1.622,0.182,213,2,0
117,-1,-11.11,96.75,235.2,1.714,0.1812,213,3,0
118,-4,-9.734,100.06,246.2,1.585,0.179,213,4,0
119,-2,-7.496,119.94,257.5,2.56,0.1356,214,1,0
120,-3,-9.086,113.75,253.2,2.656,0.1178,214,2,0
121,-4,-10.02,123.06,251.6,2.566,0.1686,214,3,0
122,4,-9.35,110.6,246.1,2.66,0.1857,214,4,0
123,-4,-18.44,96.06,243.2,2.082,0.133,1,1,1
124,-4,-17.77,101,259.8,2.516,0.1068,2,2,1
125,-4,-12.27,107.7,284.2,2.523,0.0977,3,3,1
126,4,-17.88,86.4,261,2.527,0.0944,4,4,1
127,2,-21.72,93.3,265.2,2.498,0.1201,5,5,1
128,-3,-20.81,91.25,263.2,2.523,0.125,6,6,1
129,-4,-19.12,97.94,256.8,2.543,0.075,7,7,1
130,3,-30.98,92.7,257.2,1.528,0.1115,8,8,1
131,5,-11.16,115.1,249.2,2.51,0.1054,9,9,1
132,4,-18.58,97.9,239.5,2.432,0.097,0,0,1
133,2,-18.33,94.75,277.5,2.4,0.0665,1,1,1
134,5,-16.7,97.1,250.2,2.465,0.146,2,2,1
135,4,-18.92,87.44,251.4,2.514,0.12476,3,3,1
136,2,-19.2,86.4,251.8,2.465,0.1444,4,4,1
137,-3,-20.05,85.5,237.9,2.025,0.1093,5,5,1
138,3,-19.12,89.5,253.4,2.502,0.0967,6,6,1
139,-5,-19.36,94.5,257.8,2.418,0.1221,7,7,1
140,0,-15.41,100.7,244.6,2.217,0.1465,8,8,1
141,4,-27.66,96.94,261.8,1.475,0.1405,9,9,1
142,-3,-13.195,99.06,255.2,1.465,0.1465,0,0,1
143,2,-11.87,101.94,249.1,2.463,0.1221,1,1,1
144,3,-26.56,100.7,251.4,1.579,0.11273,2,2,1
145,-1,-14.2,103.8,266.2,2.414,0.1609,3,3,1
146,5,-34.78,101.6,261,1.216,0.09174,4,4,1
147,-2,-2.012,84.5,248.5,2.19,0.29,1,1,1
148,-2,-23.86,82.6,250.2,0.808,0.312,2,2,1
149,-3,-22.2,81.56,251.4,0.7656,0.3147,3,3,1
150,-4,-32.25,79.06,241.9,0.768,0.3018,4,4,1
151,-5,-22.16,95.5,254.5,0.7256,0.311,5,5,1
152,-5,-25.67,82.2,258,0.665,0.3726,6,6,1
153,4,0.651,88,241.1,1.814,0.3215,7,7,1
154,2,-22.7,80.6,262,0.7886,0.2996,8,8,1
155,-3,-37.88,74.25,252.2,0.886,0.3005,9,9,1
156,-1,-20.33,81.44,245.2,0.8765,0.2976,0,0,1
157,4,-31.94,77.9,251.1,0.8394,0.3352,1,1,1
158,0,-20.6,83.44,254,0.8506,0.353,2,2,1
159,0,-18.89,94.75,251.2,0.7876,0.356,3,3,1
160,-3,-19.02,86.1,245.8,0.9077,0.3376,4,4,1
161,0,-1.298,83.9,253.6,1.811,0.335,5,5,1
162,-5,-8.19,87.1,242.9,2.15,0.3718,6,6,1
163,-1,-3.164,84.4,247.5,2.145,0.3188,7,7,1
164,-2,-28.44,85.3,260.5,0.7383,0.3472,8,8,1
165,-3,-25.28,80.8,262.8,0.7383,0.3118,9,9,1
166,0,-27.78,82.3,265.2,0.7734,0.3384,0,0,1
167,-3,-0.397,83.3,253.6,2.22,0.3455,1,1,1
168,-2,-23.67,88.5,252.8,0.7563,0.3684,2,2,1
169,0,-4.883,85.75,241.6,2.062,0.3855,3,3,1
170,0,-1.486,84.25,242.5,2.186,0.3958,4,4,1
171,-1,10.016,94.6,245.9,2.236,0.6978,1,1,1
172,-5,-23.3,96.56,247.9,0.7866,0.6104,2,2,1
173,-3,1.479,108.6,251.8,-0.799,0.813,3,3,1
174,-3,1.569,112.25,241.9,-0.7603,0.7856,4,4,1
175,-5,10.42,98.6,264,1.8125,0.6587,5,5,1
176,-3,1.694,103.1,252.9,-0.8804,0.714,6,6,1
177,-3,-17.81,103.56,284.2,1.8955,0.6953,7,7,1
178,2,10.79,87.1,256.2,2.104,0.641,8,8,1
179,4,2.387,112.06,247.4,-0.5,0.7827,9,9,1
180,-5,3.945,101.6,236.6,-0.302,0.765,0,0,1
181,5,1.273,98.3,255.6,-0.9277,0.6714,1,1,1
182,5,-2.361,102.94,258,2.475,0.7803,2,2,1
183,-2,2.203,101.4,231.4,-0.817,0.824,3,3,1
184,5,0.8906,80.75,263.2,-0.9946,0.7173,4,4,1
185,-5,1.226,113.1,257,-0.9688,0.6978,5,5,1
186,-5,3.104,109.4,239.6,2.566,0.7275,6,6,1
187,-2,5.363,94.2,253.4,2.373,0.7524,7,7,1
188,4,1.302,107.3,249.2,-0.907,0.7026,8,8,1
189,3,3.137,105.1,237.4,-0.3762,0.711,9,9,1
190,-3,17.7,111.2,257.8,1.575,0.7007,0,0,1
191,3,0.8125,101.44,224.5,-1.453,0.744,1,1,1
192,3,1.488,103.5,228.8,-0.798,0.708,2,2,1
193,-3,10.38,101.8,251.4,2.393,0.75,3,3,1
194,-3,-2.906,117.6,238,1.319,0.7515,4,4,1
195,-3,5.062,93.9,206.1,0.405,0.4072,1,1,1
196,3,0.891,86.9,217.1,2.332,0.4617,2,2,1
197,5,-5.867,86.5,219.1,2.047,0.381,3,3,1
198,1,-9.195,92.6,222,2.312,0.483,4,4,1
199,0,-8.016,96.25,229.1,2.148,0.4463,5,5,1
200,-5,-9.93,86.8,206.4,2.139,0.3774,6,6,1
201,-4,4.496,90.44,220.8,1.369,0.3877,7,7,1
202,2,-9.03,79.06,228,2,0.379,8,8,1
203,1,7.723,76.4,242.8,0.605,0.395,9,9,1
204,-1,-5.684,90.94,245,2.164,0.4395,0,0,1
205,5,-12.55,86.4,218.8,2.072,0.4387,1,1,1
206,3,-6.234,89.6,254.2,1.803,0.3967,2,2,1
207,-5,0.2695,90.06,246.8,2.18,0.4536,3,3,1
208,1,4.54,90.75,236.1,2.262,0.483,4,4,1
209,-2,-1.741,79.06,230.6,1.518,0.453,5,5,1
210,-3,-2.816,90,224.2,2.19,0.4158,6,6,1
211,-1,-33.56,82.8,236.6,-1.175,0.3506,7,7,1
212,1,-12.7,85.8,219.5,1.9795,0.47,8,8,1
213,-5,1.386,86.9,221,-0.6357,0.5005,9,9,1
214,3,-6.883,88.5,203,1.487,0.4307,0,0,1
215,2,-0.4363,87.3,224,2.021,0.4216,1,1,1
216,-1,-15.055,76.5,223,2.021,0.3633,2,2,1
217,-4,-18.78,80.44,212.2,1.523,0.3403,3,3,1
218,-3,-16.67,88.4,215.4,1.764,0.3723,4,4,1
219,-5,-4.035,125.1,214.9,1.672,0.4148,1,1,1
220,-5,28.11,121.56,215.1,0.4536,0.4392,2,2,1
221,-4,-86.9,114.2,249.9,-0.01538,0.4868,3,3,1
222,3,-5.96,104.44,227.9,2.457,0.4688,4,4,1
223,-1,-12.34,101.2,208.2,1.195,0.3718,5,5,1
224,-2,30.06,108.06,231.1,0.09796,0.505,6,6,1
225,3,-6.605,95.7,212,1.948,0.4033,7,7,1
226,1,-3.373,96.3,204.6,2.35,0.459,8,8,1
227,0,-2.338,123.44,206.1,2.514,0.4104,9,9,1
228,-1,-24.25,115.9,208.2,0.5693,0.4019,0,0,1
229,-3,-7.57,106.3,211.1,2.508,0.4465,1,1,1
230,-5,-33.12,118,237.2,0.2358,0.4604,2,2,1
231,-5,-17.84,118.6,191.8,0.9126,0.411,3,3,1
232,1,9.7,113.7,225.2,1.206,0.505,4,4,1
233,-5,-26.56,104.44,211.6,0.691,0.484,5,5,1
234,-5,-1.532,116.75,223.4,1.533,0.4878,6,6,1
235,-4,-14.62,111.1,234.9,0.4717,0.5176,7,7,1
236,-5,1.881,106.7,223.9,1.384,0.4785,8,8,1
237,-5,-6.09,117.2,205.2,1.923,0.4731,9,9,1
238,-4,2.59,110.7,213.4,2.041,0.5103,0,0,1
239,0,-9.766,97.7,199,2.516,0.446,1,1,1
240,1,13.36,107.4,222.2,0.4102,0.4756,2,2,1
241,4,-3.2,113,195.6,2.477,0.4214,3,3,1
242,0,-7.066,102.9,195.1,2.494,0.4377,4,4,1
